player_name,player_id,current_team,position,candidate_type,expected_salary,salary_source,source_note
Jarred Vanderbilt,1629020,LAL,,trade_target,11571429.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jarrett Allen,1628386,CLE,,trade_target,20000000.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Javonte Green,1629750,DET,,trade_target,2296274.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jaxson Hayes,1629637,LAL,,trade_target,3449323.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jay Huff,1630643,IND,,trade_target,2349578.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jaylen Brown,1627759,BOS,,trade_target,53142264.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jaylen Wells,1642377,MEM,,trade_target,1955377.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jaylin Williams,1631119,OKC,,trade_target,8450704.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jaylon Tyson,1642281,CLE,,trade_target,3492480.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jerami Grant,203924,POR,,trade_target,32000001.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jeremiah Fears,1642847,NOP,,trade_target,7520040.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jericho Sims,1630579,MIL,,trade_target,2461463.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jimmy Butler III,202710,GSW,,manual_watchlist,,missing,"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). No salary matched online - add a real value manually."
Jock Landale,1629111,ATL,,trade_target,2296274.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
John Collins,1628381,LAC,,trade_target,26580000.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
John Konchar,1629723,UTA,,trade_target,6165000.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jordan Clarkson,203903,NYK,,trade_target,12947835.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jordan Goodwin,1630692,PHX,,trade_target,2349578.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jordan Miller,1641757,LAC,,trade_target,712637.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jordan Walsh,1641775,BOS,,trade_target,2221677.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jose Alvarado,1630631,NYK,,trade_target,4500000.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Josh Giddey,1630581,CHI,,trade_target,25000000.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Josh Hart,1628404,NYK,,trade_target,19472240.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Josh Okogie,1629006,HOU,,trade_target,2296274.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jrue Holiday,201950,POR,,trade_target,32400000.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
